name,global_seq,batch_id
C-1_1,1,0
好咯去家族,2,0
出怪速度慢,3,0
风清香1996,4,0
caocaoqibajiu,5,0
chris_chi,6,0
潮流松鼠呀,7,0
J你别管我是谁,8,0
bonnie8988,9,0
べ花梦白ヾ,10,0
cc621621,11,0
这个迈着 萨克塞纳先是,12,0
鹌鹑鹑鹑鹑鹑,13,0
近战劣人王天师,14,0
静熙1111,15,0
元气小猥,16,0
我祝你游安康,17,0
一起捉妖是垃圾,18,0
司雨123,19,0
优秀de大虾,20,0
刘琳（韩梦华）,21,0
fslsp,22,0
月🈷️月月月月,23,0
真·三十二,24,0
疑问请解答6678,25,0
浮城烟雨,26,0
哈喽，开,27,0
difndkakfk,28,0
海鲜火锅,29,0
不要玩一起来捉妖,30,0
Yww491001,31,0
小烧猫,32,0
火星刃,33,0
安徽一区紫蓬山剑过无痕到此一游,34,0
135446487,35,0
一个深入玩了几天的弟弟,36,0
短脖子长颈鹿c,37,0
梦天18092/0,38,0
天天捉妖,39,0
周周小作,40,0
我的世界苦力怕（学生党）,41,0
游戏岳叔叔,42,0
Pirun 雨默,43,0
macymacy999,44,0
各种闪0000,45,0
sjsjaka,46,0
想个不重名的id好难 奸诈！秋瞳！,47,0
waltzreo,48,0
小九分Ly,49,0
姚晓梦,50,0
linjiangyu,51,1
momo爱好者,52,1
佩琪的弗雷德,53,1
涟漪益生,54,1
灵岳,55,1
岛屿求生存,56,1
小强阿啊,57,1
超爱琦琦出满资,58,1
天津坏蛋,59,1
q120333606,60,1
由于v不到北方v恶臭fevfwfdd,61,1
J.&ad,62,1
小饭啊,63,1
退钱弃游了,64,1
司雨123,65,1
扬飞驰,66,1
五星好评放书架,67,1
赵慧婷,68,1
丹哥们,69,1
风四爷、do,70,1
ZYTVD,71,1
jhbfjfgn,72,1
大D坐红van,73,1
飞机场先进,74,1
米糖纸,75,1
圈圈jsjfjxhhw,76,1
音质没开始好了,77,1
Somnus777,78,1
- 魂淡。,79,1
ayawodetianna,80,1
开心12334455667764323564,81,1
某新用户一条,82,1
衡常性,83,1
新疆小妞,84,1
gagagajack,85,1
646648183凶你,86,1
航母编队3,87,1
眠于光年ovo,88,1
矣乙,89,1
gdyfijhio,90,1
捉妖最垃圾,91,1
YouKasi,92,1
微路线,93,1
牛牛救救,94,1
太委屈通知,95,1
mtlmgan,96,1
小二很酷,97,1
游戏心情,98,1
48226255,99,1
欣酱8821,100,1
月霁风光,101,2
summer韩大,102,2
爱睡觉的BB,103,2
kaixuyin,104,2
Rikki211,105,2
一个曾经的捉妖迷,106,2
ddrbao,107,2
我想问策划是缺钱吗，要不你直接来拿,108,2
巴罗迪,109,2
爱德米,110,2
🤣😘🤤😱🙃,111,2
李家7,112,2
一飞冲天2507,113,2
癫炫龙,114,2
5区原始咆哮—天涯之旅,115,2
57823671,116,2
edwinye,117,2
lbwnp,118,2
剑君十二很,119,2
icefan2011,120,2
爱丽丝伊曼,121,2
87420110,122,2
skymid,123,2
Lisa的左耳朵,124,2
凤舜,125,2
猴哥哥的马马先生,126,2
W A N G 3 9 6,127,2
倾奈何做贼,128,2
随便啥名都好,129,2
饭）哦 v 就此夫妇,130,2
林逸（继续努力）,131,2
朱氏仙女,132,2
余生伱好,133,2
嚕啦啦嚕啦啦嚕啦嚕啦,134,2
lllandzyy,135,2
赶集网友,136,2
UMaRu小埋,137,2
好0084,138,2
vlP我恨你,139,2
小的时候可丑了,140,2
开服至今的玩家,141,2
微笑的苹果已经成为世界,142,2
还不到名字,143,2
w10089712,144,2
立体感很生气,145,2
啦攋,146,2
嘤咛，,147,2
月🈷️月月月月,148,2
静熙1111,149,2
江南小猪猪,150,2
冰封的世界OL,151,3
@dndbd,152,3
魑魅魍魉即正义,153,3
蓝白11111,154,3
aa9840,155,3
mmhun,156,3
巷里糖人,157,3
幕了组,158,3
我还是已经深V发一家子,159,3
he999ming,160,3
荧光姜丝,161,3
虚空包子,162,3
周明打打陈星,163,3
啥时候上班不,164,3
马脓,165,3
李家7,166,3
匿名158469,167,3
为毛要名字,168,3
沃德颠纳,169,3
Mizisummer,170,3
姽婳之久,171,3
蘇river,172,3
大的反,173,3
一路向阳625,174,3
神秘人lx,175,3
昕ma的麻麻,176,3
jdbehhedbbdxnjhwhh,177,3
ZNY、,178,3
一起来广州捉妖吧,179,3
玩家东兑,180,3
大只佬就系我,181,3
七星战川,182,3
梨九,183,3
Larrm『Я』,184,3
大大大SU,185,3
@jj啊凯,186,3
小老弟你跟我两搁这扯犊子呢？,187,3
摁-,188,3
龙上恋0801,189,3
Goicekun,190,3
木可老头,191,3
赶集网友,192,3
果果Vsusu,193,3
LOYEYUM,194,3
37899348,195,3
归宿大舅,196,3
纳兰花颜,197,3
桃子🍑🍑？,198,3
☞☞☞☞←,199,3
